user_id,age_group,is_senior,device_type,access_time_cluster,session_count,tap_path_entropy,task_time_sec,misclicks,first_click_sec,scroll_depth,entry_count_F01,last_access_days_F01,success_rate_F01,entry_count_F02,last_access_days_F02,success_rate_F02,entry_count_F03,last_access_days_F03,success_rate_F03,entry_count_F04,last_access_days_F04,success_rate_F04,entry_count_F05,last_access_days_F05,success_rate_F05,entry_count_F06,last_access_days_F06,success_rate_F06,entry_count_F07,last_access_days_F07,success_rate_F07,entry_count_F08,last_access_days_F08,success_rate_F08,entry_count_F09,last_access_days_F09,success_rate_F09,entry_count_F10,last_access_days_F10,success_rate_F10,entry_count_F11,last_access_days_F11,success_rate_F11,entry_count_F12,last_access_days_F12,success_rate_F12,entry_count_F13,last_access_days_F13,success_rate_F13,entry_count_F14,last_access_days_F14,success_rate_F14,entry_count_F15,last_access_days_F15,success_rate_F15,entry_count_F16,last_access_days_F16,success_rate_F16,density_level
96e8691f-b3a9-4394-b13d-6ca35f07efbb,60s,True,iOS,night,1,2.12,44.031075695639096,1,5.353766482324197,0.76,16,20,0.832,3,41,0.71,8,37,0.77,9,10,0.755,17,2,0.832,5,28,0.672,14,15,0.883,8,40,0.636,15,8,0.78,9,1,0.762,14,30,1.0,7,43,0.623,18,16,0.792,15,8,0.683,13,21,0.576,11,30,0.811,LOW
18ecc756-21eb-4d9e-aafa-738d739a2de1,30s,False,Android,evening,2,2.9,29.2,2,3.51,0.14,16,37,0.71,3,35,0.795,15,21,0.652,14,25,0.604,9,1,0.924,2,19,0.845,13,38,0.65,11,25,0.788,12,4,0.819,11,27,0.631,0,44,0.0,4,12,0.509,8,1,0.562,4,38,0.721,5,19,0.636,13,22,0.794,MID
99011b82-660e-4d67-aee7-4b857b37ea3f,20s,False,Android,morning,9,2.02,27.9,0,0.72,0.72,13,20,0.63,18,22,0.772,9,31,0.8,3,17,0.637,13,28,0.447,19,3,0.502,6,43,0.76,9,31,0.643,15,43,0.647,5,32,0.56,14,12,0.557,8,40,0.826,14,9,0.765,16,26,0.611,9,38,0.711,9,32,0.735,HIGH
bd968aab-7915-4cd8-acd6-c713aa6a83ee,20s,False,Android,morning,4,2.55,18.4,1,2.62,0.33,12,29,0.919,2,7,0.604,11,13,0.642,18,20,0.795,6,13,0.479,0,18,0.0,9,21,0.826,15,12,1.0,9,19,0.552,18,24,0.74,9,42,0.638,6,38,0.679,8,16,0.724,16,24,0.545,2,14,0.627,2,5,0.742,HIGH
f85336a8-481b-4430-82f0-37c44da4beb3,60s,True,Android,evening,4,2.98,28.70707618930558,1,0.6397862473068027,0.55,16,43,0.84,6,28,0.677,5,40,0.602,5,8,0.632,3,13,0.508,8,6,0.937,17,38,0.682,17,5,0.896,10,0,0.638,15,18,0.764,7,33,0.727,14,0,0.495,18,1,0.959,2,40,0.643,3,16,0.534,11,12,0.796,HIGH
877064b0-6eff-4d3f-8f7b-cc56d53cc965,70s,True,Android,morning,4,3.72,28.103532436988463,1,1.6935573569727658,0.13,2,41,0.517,13,18,0.65,3,1,0.501,14,37,0.627,2,43,0.85,6,22,0.901,13,23,0.596,5,22,0.736,0,6,0.0,12,37,0.714,2,33,1.0,8,7,0.572,11,33,0.48,16,28,0.747,15,29,0.591,2,11,0.378,HIGH
171937ac-8225-43d9-b7ce-e09b18e9a3ac,60s,True,Android,night,9,2.39,13.392424115228932,2,2.4902596519770124,0.43,17,23,0.507,4,44,0.976,14,43,0.524,2,21,0.751,11,8,0.552,16,41,0.817,2,26,0.644,3,25,0.494,3,24,0.66,0,8,0.0,3,37,0.771,1,23,0.723,13,37,0.708,6,33,0.592,17,24,0.685,0,10,0.0,HIGH
3c83c719-bff4-4584-ab17-8b322c838d8a,70s,True,iOS,night,3,2.51,31.1681445053162,1,0.8460578876513061,0.83,18,37,0.768,16,10,0.629,19,26,0.708,15,27,0.684,15,37,0.723,10,43,0.315,17,35,0.726,7,11,0.644,5,19,0.749,9,27,0.47,4,22,0.651,7,19,0.542,7,10,0.895,5,30,0.96,18,34,0.766,6,43,0.766,MID
817e9bf9-4a07-4be7-b774-3956c38e5217,30s,False,iOS,morning,10,3.21,17.7,0,3.75,0.2,11,31,0.671,19,27,0.813,12,32,0.81,10,42,0.69,19,43,0.622,8,26,0.796,19,35,0.548,1,11,0.518,1,4,0.747,2,25,0.791,9,20,0.746,14,34,0.762,10,22,0.391,2,41,0.789,15,5,0.921,9,29,0.827,HIGH
0e890cd3-2d85-42f8-bd33-4c6902e393be,70s,True,Android,morning,11,2.81,45.91095240923125,2,2.2144656025834317,0.31,1,42,0.541,14,17,0.922,3,24,0.577,7,35,0.827,2,16,0.899,0,32,0.0,16,42,0.783,5,38,0.669,2,5,0.941,0,30,0.0,10,0,0.896,14,37,0.512,19,20,0.581,0,13,0.0,10,41,0.741,10,4,0.353,LOW
c8c92efb-d553-49ff-86cf-b0b2c442e6c7,40s,False,iOS,morning,1,1.65,27.9,3,4.52,0.03,17,11,0.673,4,38,0.823,15,0,0.778,18,40,0.682,0,7,0.0,1,36,0.506,12,43,0.35,4,11,0.812,1,43,0.73,18,38,0.899,13,20,0.585,0,5,0.0,2,31,0.903,10,24,0.574,12,20,0.478,3,2,0.646,LOW
9473dddf-7b96-45c2-bf90-8b5bcd9a1038,40s,False,Android,afternoon,3,2.93,52.6,0,3.2,0.04,4,39,0.425,8,7,0.609,15,8,0.54,11,20,0.764,5,28,0.749,8,6,0.898,10,13,0.478,10,31,0.65,8,42,0.758,9,22,0.752,18,21,1.0,19,6,0.724,1,13,0.573,15,27,0.696,19,18,0.575,16,9,0.389,LOW
f4131ba2-bd77-4b17-82fa-68adf2ff3792,70s,True,Android,morning,7,0.91,23.461359651413392,0,3.8175780866235662,0.57,11,29,0.793,4,35,0.86,3,19,0.701,10,16,0.733,16,33,0.714,2,41,0.691,14,23,0.583,4,14,0.572,7,22,0.792,1,3,0.863,16,2,0.657,11,15,0.654,14,14,0.425,18,0,0.401,14,38,0.905,14,6,0.592,MID
03aedab5-43e6-454a-97ad-908d239450db,20s,False,iOS,evening,8,1.89,15.0,1,3.53,0.71,2,33,0.715,7,15,0.819,0,34,0.0,10,21,0.597,3,18,0.944,16,43,0.567,11,36,0.671,19,22,0.634,8,14,0.72,1,1,0.935,8,41,0.559,3,10,0.768,18,28,0.796,4,8,0.872,9,32,0.582,9,12,0.576,MID
3541b8de-2b6a-4fa6-a757-daccab2bb2a2,20s,False,Android,night,3,2.71,19.1,1,2.02,0.54,17,15,0.758,6,21,0.744,13,38,0.687,8,40,0.587,2,38,0.513,11,22,0.623,10,4,0.689,19,41,0.708,7,7,0.835,6,8,0.676,12,41,0.782,8,13,0.483,11,0,0.739,3,31,0.728,14,44,0.9,17,21,0.662,HIGH
5e1463cd-3011-4a05-93c0-af934633f8a0,40s,False,iOS,evening,8,2.96,9.5,1,3.74,0.44,18,29,0.735,11,18,0.517,19,6,0.973,5,43,0.636,14,0,0.508,2,22,0.622,15,39,0.736,19,14,0.777,19,3,0.891,15,9,0.605,11,11,0.814,18,10,0.447,0,42,0.0,0,16,0.0,2,41,0.486,13,29,0.579,HIGH
e2e4c5d3-95cc-4a04-8213-38a2191a008e,20s,False,Android,evening,9,3.02,32.1,0,3.22,0.86,8,0,0.74,5,30,0.771,15,18,0.638,12,30,0.544,8,38,0.942,15,38,0.639,14,26,0.653,2,12,0.672,17,8,0.787,13,15,0.476,8,36,1.0,12,13,0.649,10,6,0.792,3,44,0.509,14,26,0.725,9,41,0.977,MID
6c760645-22cb-4b1b-be76-02eff57df969,40s,False,Android,evening,4,1.9,9.9,0,2.43,0.63,2,39,0.651,6,39,0.697,19,22,0.649,10,15,0.444,17,25,0.772,6,13,0.315,10,9,0.741,11,1,0.502,5,13,0.752,6,15,0.758,17,2,0.758,11,26,0.823,15,38,0.888,9,26,0.635,13,21,0.819,3,14,0.631,HIGH
9541f594-199b-442f-9b7c-69079047f2b1,60s,True,iOS,morning,2,3.67,29.81893317448364,0,5.160820485501596,0.1,4,44,0.67,9,35,0.663,6,38,0.691,2,34,0.554,1,20,0.784,4,22,0.797,7,6,0.805,0,18,0.0,17,7,0.668,0,12,0.0,9,1,0.803,6,24,0.547,15,23,0.869,5,26,0.476,4,38,0.919,13,33,0.815,MID
1ed37954-8635-480c-990b-5cd266c27db7,30s,False,Android,morning,4,0.95,9.8,0,0.52,0.14,0,41,0.0,1,0,0.817,16,1,0.457,14,27,0.85,1,25,0.547,13,38,0.715,5,38,0.97,9,7,0.644,19,38,0.702,4,41,0.548,19,27,0.968,1,16,0.562,2,14,0.796,2,27,0.887,10,18,0.811,16,3,0.751,HIGH
7f45314d-8fa6-46e6-b5e5-8e515ff7cd6c,40s,False,iOS,afternoon,9,0.86,14.9,2,4.48,0.59,6,10,0.73,2,30,0.76,13,35,0.505,10,11,0.688,0,24,0.0,19,26,0.702,11,25,0.707,17,18,0.538,10,8,0.588,5,20,0.777,11,15,0.432,13,8,0.849,0,7,0.0,4,38,0.706,17,27,0.537,12,23,0.757,MID
e09edf1f-09b2-4d7b-bcee-1bcd5969ef11,40s,False,Android,night,5,2.98,39.2,2,0.36,0.8,7,23,0.624,18,4,0.747,13,17,0.737,9,6,0.529,5,8,0.916,18,38,0.748,4,9,0.383,17,33,0.704,12,17,0.682,1,33,0.299,10,35,0.934,8,4,0.643,13,38,0.566,10,4,0.914,8,33,0.65,4,44,0.705,MID
f73dd8f9-a457-480c-b403-9760f1e11b71,60s,True,Android,morning,9,3.46,29.265622482018596,3,3.502031059012317,0.94,6,16,0.742,15,5,0.75,6,30,0.409,0,42,0.0,14,10,0.484,9,33,0.713,6,12,0.825,19,8,0.639,1,21,0.693,2,2,0.549,1,43,0.709,13,22,0.406,4,11,0.667,6,34,0.696,15,40,0.842,12,44,0.524,LOW
5f1a13d7-ba24-4529-b357-9aac2bd815e1,70s,True,iOS,night,7,1.21,54.123385334230704,0,4.741636362404202,0.62,1,11,0.653,2,38,0.599,10,33,0.772,16,16,0.758,2,34,0.678,0,9,0.0,12,42,1.0,4,40,0.508,7,11,0.539,12,8,0.76,1,20,0.607,17,31,0.874,11,39,0.556,10,23,0.905,6,11,0.652,0,42,0.0,LOW
043baf7c-a9fe-4379-9c47-4c1c3bdf4330,40s,False,iOS,evening,1,3.13,19.2,1,2.34,0.13,17,16,0.767,2,4,0.947,9,6,0.788,3,43,0.687,4,39,0.83,0,7,0.0,18,0,0.774,6,3,0.743,9,23,0.75,10,37,0.757,19,36,0.441,14,37,0.772,3,30,0.593,6,41,0.627,6,29,0.7,12,28,0.943,HIGH
e04dc93f-a9ea-4d5d-8a86-6ee99e98a26b,70s,True,iOS,afternoon,9,3.57,12.471018809994915,0,5.442947784468162,0.28,9,19,0.684,3,22,0.793,7,29,0.544,6,32,0.638,9,29,0.767,11,27,0.47,19,25,0.81,3,44,0.795,16,44,0.75,8,33,0.791,14,20,0.628,10,7,0.922,6,32,0.897,7,17,0.753,8,6,0.718,14,32,0.824,MID
a2bc8f42-7c6b-4dcb-97ef-60edb4b9bc22,20s,False,Android,morning,10,2.74,13.2,1,0.73,0.67,2,29,0.813,6,0,0.515,16,8,0.625,18,38,0.543,18,30,0.708,17,12,0.649,5,12,0.751,18,40,0.761,19,24,0.384,15,42,0.373,14,11,0.699,1,14,0.878,10,17,0.625,10,1,0.621,14,39,0.848,7,19,0.821,HIGH
e402abac-b727-4a1a-9b55-0c23eb01e2f9,20s,False,Android,afternoon,10,1.77,36.8,1,1.45,0.91,17,42,0.557,18,42,0.514,19,44,0.716,15,4,0.493,9,31,0.722,4,28,0.718,5,20,0.677,11,12,0.632,4,13,0.603,17,16,0.539,0,20,0.0,15,6,0.688,16,31,0.533,15,5,0.461,7,12,0.734,3,1,1.0,MID
d123fe9a-178b-40ef-afa5-9a7a89c50586,60s,True,iOS,night,5,3.6,63.212885410810806,0,4.378365636949613,0.27,13,31,0.798,16,7,0.611,8,10,0.819,10,35,0.602,13,1,0.69,19,4,0.774,1,5,0.886,19,13,0.792,9,9,0.778,1,34,0.805,7,30,0.581,16,42,0.826,8,10,0.659,14,7,0.664,9,12,0.712,2,41,0.646,LOW
4d4cf664-5fd6-44e3-9ae1-8eb046648d36,60s,True,Android,night,2,2.4,12.514063545755773,0,3.144522218574813,0.77,13,15,0.663,3,2,0.566,17,24,0.597,10,1,0.675,1,24,0.709,14,14,0.687,15,24,0.958,15,13,0.4,7,28,0.702,4,43,0.771,2,15,0.853,3,1,0.728,16,31,0.741,19,44,0.805,13,41,0.7,7,42,0.332,MID
